campaign_id,date,campaign_name,channel,city,audience_segment,objective,spend_aud,impressions,clicks,leads,conversions,revenue_aud,customer_rating,ctr_pct,cpc_aud,conversion_rate_pct,cpa_aud,roas,aov_aud,year_week
CMP-0220,2025-01-16,VIP Upgrade - Email,Email,Bangalore,Music Enthusiasts,Ticket Sales,472.93,9867,1039,191,42,8546.6,4.7,10.530049660484444,0.45517805582290666,4.042348411934552,11.260238095238096,18.07159621931364,203.4904761904762,2025-02
CMP-0344,2025-01-16,Weekend Boost - Meta Ads,Meta Ads,Melbourne,Premium Experience Seekers,Retargeting,677.71,15359,415,87,10,1805.31,3.7,2.701998828048701,1.6330361445783133,2.4096385542168677,67.771,2.6638385149990405,180.531,2025-02
CMP-0195,2025-01-17,Student Offer - Email,Email,Delhi,Families,Retargeting,333.52,7443,954,180,43,5166.99,3.75,12.817412333736398,0.34960167714884693,4.5073375262054505,7.756279069767442,15.492294315183498,120.16255813953488,2025-02
CMP-0307,2025-01-17,Corporate Outreach - Sponsorship,Sponsorship,Melbourne,Music Enthusiasts,Awareness,1691.44,32181,717,145,6,3315.37,4.78,2.2280227463410087,2.3590516039051606,0.8368200836820083,281.9066666666667,1.960087262923899,552.5616666666666,2025-02
CMP-0062,2025-01-19,Summer Launch - LinkedIn Ads,LinkedIn Ads,Brisbane,Families,Lead Generation,597.55,11814,196,28,1,363.81,4.12,1.659048586422888,3.048724489795918,0.5102040816326531,597.55,0.6088360806627061,363.81,2025-03
CMP-0107,2025-01-19,Summer Launch - Retargeting,Retargeting,Mumbai,Music Enthusiasts,Awareness,251.64,3829,336,59,12,3111.61,4.47,8.775137111517367,0.7489285714285714,3.571428571428571,20.97,12.365323477984424,259.30083333333334,2025-03
CMP-0242,2025-01-20,Weekend Boost - Retargeting,Retargeting,Sydney,Students,Ticket Sales,547.77,7412,475,100,20,2848.66,3.56,6.408526713437669,1.1532,4.2105263157894735,27.3885,5.200467349434982,142.433,2025-03
CMP-0209,2025-01-22,Corporate Outreach - Email,Email,Sydney,Premium Experience Seekers,Retargeting,379.9,9304,849,94,46,7256.68,4.31,9.125107480653483,0.44746760895170784,5.418138987043581,8.258695652173913,19.101553040273757,157.75391304347826,2025-03
CMP-0425,2025-01-24,Festival Push - Meta Ads,Meta Ads,Bangalore,Young Professionals,Awareness,558.5,8625,231,48,3,682.56,3.94,2.6782608695652175,2.4177489177489178,1.2987012987012987,186.16666666666666,1.2221307072515666,227.51999999999998,2025-03
CMP-0476,2025-01-24,Last Mile Sales - Influencer,Influencer,Sydney,Premium Experience Seekers,Lead Generation,960.66,14603,438,78,5,1285.45,3.96,2.9993836882832294,2.1932876712328766,1.141552511415525,192.132,1.3380904794620365,257.09000000000003,2025-03
CMP-0135,2025-01-26,Festival Push - Sponsorship,Sponsorship,Melbourne,Music Enthusiasts,Sponsorship,1072.31,27950,479,100,11,5734.07,4.68,1.7137745974955276,2.238643006263048,2.2964509394572024,97.48272727272727,5.347399539312326,521.2790909090909,2025-04
CMP-0269,2025-01-27,Student Offer - Influencer,Influencer,Delhi,Families,Awareness,760.88,15998,534,134,2,449.44,4.27,3.337917239654957,1.424868913857678,0.37453183520599254,380.44,0.5906844706129745,224.72,2025-04
CMP-0368,2025-01-28,Festival Push - Email,Email,Melbourne,Corporate Buyers,Awareness,434.47,7224,698,85,9,2258.29,3.92,9.662236987818384,0.6224498567335244,1.2893982808022924,48.27444444444445,5.197804221235067,250.92111111111112,2025-04
CMP-0122,2025-01-29,Corporate Outreach - Meta Ads,Meta Ads,Sydney,Families,Awareness,1072.31,17517,415,96,3,550.29,3.55,2.3691271336416055,2.583879518072289,0.7228915662650602,357.43666666666667,0.5131818224207552,183.42999999999998,2025-04
CMP-0441,2025-01-29,Early Bird - Meta Ads,Meta Ads,Mumbai,Young Professionals,Retargeting,259.93,5073,132,27,1,250.87,4.49,2.6020106445890008,1.9691666666666667,0.7575757575757576,259.93,0.9651444619705305,250.87,2025-04
CMP-0019,2025-01-31,Student Offer - Email,Email,Melbourne,Premium Experience Seekers,Ticket Sales,322.74,5829,504,108,26,8362.0,4.15,8.646423057128153,0.6403571428571428,5.158730158730158,12.413076923076924,25.90940075602652,321.61538461538464,2025-04
CMP-0324,2025-02-01,Corporate Outreach - Google Search,Google Search,Delhi,Families,Retargeting,1698.98,28612,1300,226,28,4507.7,4.18,4.543548161610513,1.3069076923076923,2.1538461538461537,60.67785714285714,2.6531801433801454,160.9892857142857,2025-04
CMP-0073,2025-02-02,VIP Upgrade - Influencer,Influencer,Mumbai,Families,Ticket Sales,191.22,4127,163,22,1,157.69,3.89,3.949600193845408,1.1731288343558282,0.6134969325153374,191.22,0.8246522330300178,157.69,2025-05
CMP-0194,2025-02-03,Summer Launch - Influencer,Influencer,Mumbai,Corporate Buyers,Ticket Sales,575.63,11544,358,63,3,568.3,4.23,3.1011781011781014,1.607905027932961,0.8379888268156425,191.87666666666667,0.9872661258099821,189.4333333333333,2025-05
CMP-0466,2025-02-03,Early Bird - Influencer,Influencer,Sydney,Premium Experience Seekers,Sponsorship,550.93,8740,294,51,4,1474.25,4.47,3.363844393592677,1.8739115646258502,1.3605442176870748,137.7325,2.675929791443559,368.5625,2025-05
CMP-0475,2025-02-03,Early Bird - Meta Ads,Meta Ads,Bangalore,Corporate Buyers,Awareness,1118.71,25852,859,138,12,3865.45,3.62,3.3227603280210425,1.3023399301513388,1.3969732246798603,93.22583333333334,3.4552743785252655,322.12083333333334,2025-05
CMP-0011,2025-02-04,Corporate Outreach - Influencer,Influencer,Sydney,Young Professionals,Ticket Sales,542.2,11232,361,82,5,1223.03,4.71,3.214031339031339,1.5019390581717453,1.3850415512465373,108.44000000000001,2.2556805606787163,244.606,2025-05
CMP-0025,2025-02-04,Weekend Boost - Google Search,Google Search,Sydney,Premium Experience Seekers,Awareness,1341.96,29416,1049,222,21,5521.11,4.03,3.566086483546369,1.2792755004766445,2.001906577693041,63.902857142857144,4.11421353840651,262.90999999999997,2025-05
CMP-0184,2025-02-04,VIP Upgrade - Sponsorship,Sponsorship,Sydney,Families,Retargeting,2076.66,43665,543,84,13,5050.85,4.02,1.2435589144623842,3.8244198895027623,2.394106813996317,159.7430769230769,2.432198819257847,388.5269230769231,2025-05
CMP-0253,2025-02-04,Last Mile Sales - Sponsorship,Sponsorship,Mumbai,Families,Awareness,1507.51,27755,469,70,5,2027.19,3.97,1.6897856242118536,3.2143070362473347,1.0660980810234542,301.502,1.3447273981598795,405.438,2025-05
CMP-0352,2025-02-04,Corporate Outreach - Email,Email,Sydney,Young Professionals,Retargeting,381.55,10260,972,171,62,14212.31,4.09,9.473684210526317,0.3925411522633745,6.378600823045268,6.154032258064516,37.24887957017429,229.2308064516129,2025-05
CMP-0099,2025-02-06,VIP Upgrade - Google Search,Google Search,Melbourne,Students,Sponsorship,1155.45,31295,1598,273,28,4518.58,4.11,5.106247004313788,0.7230600750938674,1.7521902377972465,41.26607142857143,3.910666839759401,161.37785714285715,2025-05
CMP-0488,2025-02-08,Summer Launch - Sponsorship,Sponsorship,Mumbai,Premium Experience Seekers,Ticket Sales,1214.85,17769,413,110,8,3703.5,3.93,2.3242726096009902,2.9415254237288133,1.937046004842615,151.85625,3.048524509198667,462.9375,2025-05
CMP-0054,2025-02-09,Early Bird - Google Search,Google Search,Sydney,Premium Experience Seekers,Awareness,1332.35,19059,1070,162,13,5232.95,4.28,5.614145548035049,1.2451869158878504,1.2149532710280373,102.48846153846154,3.9276091117198937,402.5346153846154,2025-06
CMP-0302,2025-02-10,Student Offer - Sponsorship,Sponsorship,Brisbane,Music Enthusiasts,Retargeting,1468.88,29753,499,109,7,3388.97,4.54,1.6771418008268073,2.9436472945891787,1.402805611222445,209.84,2.3071796198464134,484.1385714285714,2025-06
CMP-0067,2025-02-11,Early Bird - Meta Ads,Meta Ads,Delhi,Students,Sponsorship,1322.91,29820,912,184,17,1566.95,4.23,3.058350100603622,1.4505592105263159,1.8640350877192982,77.81823529411766,1.1844721107255973,92.1735294117647,2025-06
CMP-0191,2025-02-12,Summer Launch - Meta Ads,Meta Ads,Bangalore,Families,Awareness,1562.04,32705,586,84,3,501.4,4.16,1.7917749579574989,2.6655972696245733,0.5119453924914675,520.68,0.3209904996030831,167.13333333333333,2025-06
CMP-0505,2025-02-12,Student Offer - Meta Ads,Meta Ads,Melbourne,Music Enthusiasts,Awareness,740.62,15519,355,61,4,214.67,5.0,2.287518525678201,2.0862535211267605,1.1267605633802817,185.155,0.289851745834571,53.6675,2025-06
CMP-0037,2025-02-13,Student Offer - Sponsorship,Sponsorship,Melbourne,Music Enthusiasts,Retargeting,1892.22,47893,851,193,19,8270.63,3.99,1.7768776230346814,2.2235252643948296,2.2326674500587544,99.59052631578948,4.370860682161693,435.2963157894736,2025-06
CMP-0271,2025-02-13,Early Bird - Google Search,Google Search,Mumbai,Corporate Buyers,Retargeting,1303.93,31134,1979,310,78,21189.83,4.84,6.356394938009894,0.6588832743810006,3.941384537645275,16.717051282051283,16.250741987683387,271.6644871794872,2025-06
CMP-0082,2025-02-15,Early Bird - Email,Email,Sydney,Young Professionals,Awareness,360.17,8882,1059,202,31,4375.56,4.17,11.92299031749606,0.3401038715769594,2.927289896128423,11.618387096774194,12.148596496099065,141.14709677419356,2025-06
CMP-0204,2025-02-18,Weekend Boost - Google Search,Google Search,Mumbai,Corporate Buyers,Ticket Sales,1599.89,26224,982,185,29,8491.14,4.23,3.7446613788895666,1.629215885947047,2.9531568228105907,55.16862068965518,5.3073273787572885,292.79793103448276,2025-07
CMP-0283,2025-02-18,VIP Upgrade - Retargeting,Retargeting,Delhi,Premium Experience Seekers,Ticket Sales,567.29,9270,650,131,18,4722.35,4.73,7.011866235167206,0.8727538461538461,2.769230769230769,31.51611111111111,8.324401981349927,262.3527777777778,2025-07
CMP-0026,2025-02-19,Corporate Outreach - Sponsorship,Sponsorship,Bangalore,Premium Experience Seekers,Sponsorship,1347.7,27776,632,56,14,9499.92,4.3,2.2753456221198154,2.1324367088607596,2.2151898734177213,96.26428571428572,7.048987163315278,678.5657142857143,2025-07
CMP-0031,2025-02-20,VIP Upgrade - Sponsorship,Sponsorship,Delhi,Families,Ticket Sales,1689.91,23107,526,101,11,3981.98,4.48,2.276366469035357,3.2127566539923955,2.091254752851711,153.62818181818182,2.3563266682841095,361.9981818181818,2025-07
CMP-0078,2025-02-20,VIP Upgrade - Retargeting,Retargeting,Mumbai,Corporate Buyers,Awareness,917.04,16758,654,78,14,3373.92,4.06,3.9026136770497675,1.4022018348623853,2.1406727828746175,65.50285714285714,3.6791415859722587,240.99428571428572,2025-07
CMP-0287,2025-02-20,Corporate Outreach - Google Search,Google Search,Brisbane,Corporate Buyers,Sponsorship,1135.81,21909,1061,119,21,8352.03,3.46,4.84275868364599,1.0705089538171535,1.9792648444863337,54.086190476190474,7.353368961357974,397.71571428571434,2025-07
CMP-0448,2025-02-20,Last Mile Sales - Google Search,Google Search,Brisbane,Corporate Buyers,Ticket Sales,1262.8,21131,1274,212,30,11168.11,4.13,6.029056835928257,0.9912087912087911,2.3547880690737837,42.093333333333334,8.843926195755465,372.2703333333333,2025-07
CMP-0171,2025-02-21,VIP Upgrade - Meta Ads,Meta Ads,Melbourne,Corporate Buyers,Sponsorship,492.56,8562,240,34,6,1093.84,4.1,2.8030833917309037,2.0523333333333333,2.5,82.09333333333333,2.2207243787558872,182.30666666666664,2025-07
CMP-0172,2025-02-21,Early Bird - Google Search,Google Search,Mumbai,Young Professionals,Ticket Sales,1167.35,19917,1126,212,33,7904.89,4.48,5.653461866747,1.036722912966252,2.930728241563055,35.374242424242425,6.771653745663255,239.54212121212123,2025-07
CMP-0018,2025-02-22,VIP Upgrade - Sponsorship,Sponsorship,Mumbai,Young Professionals,Ticket Sales,1587.06,40676,744,150,6,2948.85,3.9,1.8290884059396204,2.1331451612903227,0.8064516129032258,264.51,1.8580582964727232,491.47499999999997,2025-07
CMP-0157,2025-02-22,Festival Push - Retargeting,Retargeting,Sydney,Families,Lead Generation,678.49,14313,961,110,34,5821.3,4.15,6.714175923985188,0.7060249739854318,3.537981269510926,19.95558823529412,8.57978746923315,171.21470588235294,2025-07
CMP-0263,2025-02-22,VIP Upgrade - Meta Ads,Meta Ads,Sydney,Premium Experience Seekers,Awareness,1204.86,22486,743,151,12,2078.93,4.11,3.3042782175575915,1.6216150740242259,1.6150740242261103,100.40499999999999,1.7254535796690071,173.24416666666664,2025-07
CMP-0515,2025-02-22,Festival Push - Google Search,Google Search,Brisbane,Families,Awareness,1149.39,29078,1637,410,25,8481.07,4.26,5.629685673017402,0.7021319486866219,1.5271838729383016,45.97560000000001,7.378757427853034,339.2428,2025-07
CMP-0040,2025-02-24,Festival Push - Influencer,Influencer,Bangalore,Corporate Buyers,Retargeting,732.09,15663,656,165,10,2913.17,4.58,4.188214262912596,1.1159908536585366,1.524390243902439,73.209,3.9792511849635974,291.317,2025-08
CMP-0225,2025-02-24,Last Mile Sales - Retargeting,Retargeting,Melbourne,Families,Ticket Sales,763.68,9745,750,194,45,10993.76,4.26,7.6962544894817855,1.01824,6.0,16.970666666666666,14.395767860884142,244.3057777777778,2025-08
CMP-0319,2025-02-24,Weekend Boost - LinkedIn Ads,LinkedIn Ads,Bangalore,Families,Retargeting,1154.32,24182,256,32,6,1905.37,3.97,1.0586386568522042,4.5090625,2.34375,192.38666666666666,1.650642802689029,317.56166666666667,2025-08
CMP-0501,2025-02-24,Early Bird - Meta Ads,Meta Ads,Sydney,Families,Ticket Sales,1025.75,17245,538,37,11,2867.16,3.67,3.119744853580748,1.9065985130111525,2.0446096654275094,93.25,2.795184011698757,260.65090909090907,2025-08
CMP-0351,2025-02-25,Student Offer - Google Search,Google Search,Delhi,Families,Awareness,1563.33,32975,2405,553,36,7382.61,4.36,7.293404094010613,0.650033264033264,1.496881496881497,43.42583333333333,4.722361881368617,205.0725,2025-08
CMP-0023,2025-02-26,Last Mile Sales - Meta Ads,Meta Ads,Melbourne,Premium Experience Seekers,Awareness,943.28,13677,353,60,4,922.42,4.37,2.580975360093588,2.6721813031161474,1.13314447592068,235.82,0.9778856755152234,230.605,2025-08
CMP-0041,2025-02-26,Corporate Outreach - LinkedIn Ads,LinkedIn Ads,Bangalore,Corporate Buyers,Ticket Sales,466.13,5457,61,10,0,0.0,4.59,1.117830309693971,7.641475409836065,0.0,0.0,0.0,0.0,2025-08
CMP-0230,2025-02-26,Early Bird - Meta Ads,Meta Ads,Delhi,Corporate Buyers,Retargeting,828.52,16056,539,124,7,1719.1,4.23,3.3570004982561032,1.5371428571428571,1.2987012987012987,118.36,2.0749046492540915,245.58571428571426,2025-08
CMP-0376,2025-02-26,Weekend Boost - Sponsorship,Sponsorship,Mumbai,Music Enthusiasts,Lead Generation,2137.08,36636,578,101,9,4335.57,3.65,1.5776831531826618,3.6973702422145327,1.5570934256055362,237.45333333333332,2.0287354708293557,481.72999999999996,2025-08
CMP-0335,2025-02-27,Weekend Boost - Sponsorship,Sponsorship,Mumbai,Families,Sponsorship,1839.28,45849,815,140,15,5860.49,4.5,1.7775742109969683,2.25678527607362,1.8404907975460123,122.61866666666667,3.186295724413901,390.6993333333333,2025-08
CMP-0340,2025-02-27,Corporate Outreach - Meta Ads,Meta Ads,Melbourne,Premium Experience Seekers,Ticket Sales,671.8,14294,295,56,5,1719.97,4.31,2.063802994263327,2.27728813559322,1.694915254237288,134.35999999999999,2.56024114319738,343.994,2025-08
CMP-0516,2025-02-27,Last Mile Sales - Email,Email,Melbourne,Corporate Buyers,Awareness,262.02,6583,731,160,17,3941.79,4.18,11.104359714415919,0.3584404924760602,2.3255813953488373,15.412941176470587,15.043851614380582,231.87,2025-08
CMP-0405,2025-02-28,Weekend Boost - Sponsorship,Sponsorship,Melbourne,Students,Ticket Sales,1226.37,32665,290,42,10,4262.34,3.81,0.8878003979794888,4.228862068965517,3.4482758620689653,122.63699999999999,3.4755742557303266,426.23400000000004,2025-08
CMP-0063,2025-03-01,Summer Launch - Meta Ads,Meta Ads,Melbourne,Young Professionals,Retargeting,922.19,13958,270,55,5,774.32,4.17,1.934374552228113,3.415518518518519,1.8518518518518516,184.43800000000002,0.8396534336741887,154.864,2025-08
CMP-0066,2025-03-01,VIP Upgrade - Google Search,Google Search,Delhi,Young Professionals,Ticket Sales,1119.9,18397,958,162,19,7293.38,4.82,5.207370766972876,1.168997912317328,1.9832985386221296,58.9421052631579,6.512527904277167,383.8621052631579,2025-08
CMP-0216,2025-03-01,Early Bird - Meta Ads,Meta Ads,Brisbane,Families,Lead Generation,1342.9,30413,823,134,8,1428.04,4.4,2.7060796369973366,1.6317132442284328,0.9720534629404617,167.8625,1.0634001042519918,178.505,2025-08
CMP-0392,2025-03-01,Student Offer - Email,Email,Sydney,Young Professionals,Retargeting,537.43,8992,871,133,58,13100.71,3.96,9.686387900355871,0.6170264064293914,6.659012629161882,9.26603448275862,24.376588578977728,225.87431034482756,2025-08
CMP-0461,2025-03-01,Early Bird - Influencer,Influencer,Bangalore,Young Professionals,Ticket Sales,1074.59,24866,596,117,6,915.49,4.28,2.3968471004584573,1.8030033557046978,1.006711409395973,179.09833333333333,0.8519435319517212,152.58166666666668,2025-08
CMP-0265,2025-03-03,Last Mile Sales - LinkedIn Ads,LinkedIn Ads,Brisbane,Music Enthusiasts,Retargeting,359.08,5421,96,18,0,0.0,4.2,1.770890979524073,3.7404166666666665,0.0,0.0,0.0,0.0,2025-09
CMP-0277,2025-03-03,Corporate Outreach - Influencer,Influencer,Melbourne,Young Professionals,Ticket Sales,1328.55,25170,575,89,7,1778.54,4.39,2.284465633690902,2.3105217391304347,1.2173913043478262,189.79285714285714,1.3387076135636597,254.07714285714286,2025-09
CMP-0320,2025-03-03,Last Mile Sales - Retargeting,Retargeting,Bangalore,Corporate Buyers,Ticket Sales,940.35,19001,1696,320,114,36269.97,4.42,8.925846008104836,0.5544516509433962,6.721698113207547,8.248684210526315,38.57071303238156,318.15763157894736,2025-09
CMP-0428,2025-03-03,Last Mile Sales - Meta Ads,Meta Ads,Bangalore,Young Professionals,Lead Generation,1237.1,27604,815,115,10,2117.56,3.98,2.952470656426605,1.5179141104294478,1.2269938650306749,123.71,1.7117128768894998,211.756,2025-09
CMP-0097,2025-03-06,Early Bird - Influencer,Influencer,Mumbai,Young Professionals,Ticket Sales,887.33,19591,487,99,4,748.61,4.66,2.485835332550661,1.8220328542094457,0.8213552361396305,221.8325,0.8436658289475167,187.1525,2025-09
CMP-0338,2025-03-06,Student Offer - Google Search,Google Search,Melbourne,Students,Ticket Sales,1282.03,16040,661,119,19,4148.65,3.77,4.120947630922693,1.9395310136157338,2.8744326777609683,67.47526315789473,3.2360007176119123,218.35,2025-09
CMP-0281,2025-03-07,Corporate Outreach - Influencer,Influencer,Bangalore,Families,Sponsorship,694.84,16966,566,95,10,2023.24,4.56,3.3360839325710248,1.2276325088339224,1.76678445229682,69.48400000000001,2.911807034713027,202.324,2025-09
CMP-0326,2025-03-07,Weekend Boost - Google Search,Google Search,Melbourne,Students,Lead Generation,1405.73,30674,1675,304,49,11869.27,4.52,5.460650713959706,0.8392417910447761,2.925373134328358,28.688367346938776,8.443491993483812,242.23000000000002,2025-09
CMP-0420,2025-03-07,Last Mile Sales - Sponsorship,Sponsorship,Brisbane,Young Professionals,Lead Generation,1477.6,20351,279,50,5,2800.56,3.6,1.3709400029482581,5.29605734767025,1.7921146953405016,295.52,1.895343800757986,560.112,2025-09
CMP-0362,2025-03-08,VIP Upgrade - Google Search,Google Search,Mumbai,Young Professionals,Ticket Sales,1219.11,29307,1440,248,33,10685.79,3.93,4.913501893745521,0.8466041666666666,2.2916666666666665,36.94272727272727,8.765238575682261,323.8118181818182,2025-09
CMP-0117,2025-03-09,Festival Push - Google Search,Google Search,Melbourne,Families,Lead Generation,1556.79,32817,1833,449,51,12873.12,5.0,5.585519700155407,0.8493126022913257,2.7823240589198037,30.525294117647057,8.269015088740293,252.41411764705884,2025-10
CMP-0270,2025-03-09,Early Bird - Influencer,Influencer,Bangalore,Music Enthusiasts,Retargeting,758.1,9930,238,51,3,552.53,4.28,2.3967774420946624,3.185294117647059,1.2605042016806722,252.70000000000002,0.7288352460097612,184.17666666666665,2025-10
CMP-0151,2025-03-10,Festival Push - Meta Ads,Meta Ads,Melbourne,Young Professionals,Awareness,798.15,22102,717,131,6,1059.21,4.23,3.2440503121889424,1.1131799163179916,0.8368200836820083,133.025,1.327081375681263,176.535,2025-10
CMP-0178,2025-03-10,Festival Push - Meta Ads,Meta Ads,Brisbane,Families,Retargeting,1160.96,21376,588,121,8,1624.03,3.85,2.750748502994012,1.974421768707483,1.3605442176870748,145.12,1.398868178059537,203.00375,2025-10
CMP-0120,2025-03-11,Student Offer - Google Search,Google Search,Mumbai,Students,Lead Generation,1381.93,21408,1379,308,39,5224.08,4.49,6.441517189835576,1.0021247280638144,2.8281363306744014,35.43410256410257,3.7802783064265193,133.95076923076923,2025-10
CMP-0182,2025-03-12,Early Bird - Meta Ads,Meta Ads,Melbourne,Young Professionals,Lead Generation,970.54,19619,324,47,5,1084.07,3.8,1.6514603190784443,2.9954938271604936,1.5432098765432098,194.108,1.1169761163888146,216.814,2025-10
CMP-0255,2025-03-12,Weekend Boost - Google Search,Google Search,Mumbai,Premium Experience Seekers,Sponsorship,1080.25,29762,1547,157,57,28313.93,4.75,5.197903366709227,0.6982870071105365,3.684550743374273,18.95175438596491,26.210534598472577,496.73561403508774,2025-10
CMP-0468,2025-03-12,VIP Upgrade - Email,Email,Melbourne,Corporate Buyers,Ticket Sales,471.21,11502,856,177,47,11785.21,4.6,7.442183968005564,0.5504789719626167,5.490654205607477,10.025744680851064,25.010526092400415,250.7491489361702,2025-10
