campaign_name,channel,city,audience_segment,spend_aud,revenue_aud,impressions,clicks,leads,conversions,ctr_pct,conversion_rate_pct,cpa_aud,roas,aov_aud
Corporate Outreach - Retargeting,Retargeting,Bangalore,Premium Experience Seekers,1105.43,25099.13,20912,1596,357,86,7.631981637337414,5.3884711779448615,12.853837209302327,22.705309246175695,291.8503488372093
Festival Push - Google Search,Google Search,Bangalore,Young Professionals,2064.02,25013.99,53800,2643,420,85,4.912639405204461,3.216042376087779,24.282588235294117,12.119063768761931,294.28223529411764
Summer Launch - Google Search,Google Search,Melbourne,Music Enthusiasts,1406.07,24814.91,27544,1855,354,71,6.734679058960209,3.8274932614555257,19.803802816901406,17.648417219626335,349.50577464788734
Corporate Outreach - Retargeting,Retargeting,Brisbane,Music Enthusiasts,836.0,22732.83,25426,1683,275,81,6.619208684024228,4.81283422459893,10.320987654320987,27.19238038277512,280.65222222222224
Weekend Boost - Google Search,Google Search,Sydney,Premium Experience Seekers,2276.6,22687.38,53999,1935,336,59,3.5833996925869,3.049095607235142,38.5864406779661,9.965466045857859,384.5318644067797
Last Mile Sales - Google Search,Google Search,Mumbai,Corporate Buyers,1212.48,22230.35,23751,1242,244,65,5.229253505115574,5.233494363929147,18.65353846153846,18.334611704935337,342.00538461538457
VIP Upgrade - Google Search,Google Search,Melbourne,Students,4410.24,22047.72,106883,5168,957,115,4.835193622933488,2.225232198142415,38.34991304347826,4.999210927296474,191.7193043478261
Corporate Outreach - Retargeting,Retargeting,Melbourne,Young Professionals,808.29,21912.84,18948,1722,257,85,9.0880303989867,4.936120789779326,9.509294117647059,27.110121367331033,257.7981176470588
Festival Push - Google Search,Google Search,Melbourne,Families,3846.95,21423.0,75743,3603,738,96,4.756875222792865,2.6644462947543714,40.07239583333333,5.5688272527586795,223.15625
VIP Upgrade - Sponsorship,Sponsorship,Bangalore,Premium Experience Seekers,3401.77,21379.09,75407,1220,237,31,1.6178869335738062,2.540983606557377,109.73451612903226,6.284695908306558,689.648064516129
Early Bird - Google Search,Google Search,Mumbai,Corporate Buyers,1303.93,21189.83,31134,1979,310,78,6.356394938009894,3.941384537645275,16.717051282051283,16.250741987683387,271.6644871794872
Corporate Outreach - Google Search,Google Search,Melbourne,Families,2668.2,20421.8,69351,3247,514,92,4.681980072385402,2.8333846627656296,29.002173913043475,7.653774079904055,221.97608695652173
Student Offer - Email,Email,Sydney,Young Professionals,940.9,19534.69,17682,1647,271,89,9.314557176789956,5.403764420157862,10.57191011235955,20.76170687639494,219.4908988764045
Weekend Boost - Retargeting,Retargeting,Bangalore,Music Enthusiasts,588.96,19427.26,11664,1113,189,81,9.542181069958849,7.277628032345014,7.271111111111112,32.985703613148594,239.8427160493827
Early Bird - Google Search,Google Search,Mumbai,Young Professionals,3444.55,18898.77,72176,3692,671,81,5.115273775216139,2.1939328277356447,42.52530864197531,5.486571540549564,233.31814814814814
Corporate Outreach - Retargeting,Retargeting,Melbourne,Premium Experience Seekers,660.99,18369.78,14731,814,156,57,5.525761998506551,7.002457002457002,11.596315789473685,27.791313030454315,322.27684210526314
Student Offer - Retargeting,Retargeting,Sydney,Young Professionals,946.79,18236.68,19622,1164,243,72,5.932117011517684,6.185567010309279,13.149861111111111,19.26158915915884,253.28722222222223
Festival Push - Google Search,Google Search,Melbourne,Music Enthusiasts,1399.76,17868.2,26935,1483,285,68,5.505847410432523,4.585300067430883,20.584705882352942,12.76518831799737,262.7676470588235
Weekend Boost - Retargeting,Retargeting,Melbourne,Corporate Buyers,905.15,17100.81,16930,1157,188,54,6.834022445363261,4.66724286949006,16.762037037037036,18.892791250069052,316.6816666666667
Summer Launch - Retargeting,Retargeting,Bangalore,Premium Experience Seekers,1481.96,17010.2,30181,2058,377,71,6.81885954739737,3.4499514091350827,20.87267605633803,11.478177548651786,239.58028169014085
VIP Upgrade - Retargeting,Retargeting,Brisbane,Music Enthusiasts,1048.19,16966.45,29183,1613,238,93,5.527190487612652,5.765654060756355,11.270860215053764,16.186426125034583,182.43494623655914
Weekend Boost - Google Search,Google Search,Brisbane,Premium Experience Seekers,1306.58,16682.89,37623,1950,303,47,5.182999760784626,2.41025641025641,27.799574468085105,12.768364738477553,354.9551063829787
Weekend Boost - Retargeting,Retargeting,Brisbane,Music Enthusiasts,1032.33,16421.24,21001,864,152,58,4.114089805247369,6.712962962962964,17.798793103448276,15.906967733186097,283.12482758620695
VIP Upgrade - Google Search,Google Search,Brisbane,Students,2924.91,15937.630000000001,61103,3025,466,67,4.950657087213394,2.2148760330578514,43.65537313432836,5.448930052548626,237.87507462686568
Corporate Outreach - Google Search,Google Search,Sydney,Music Enthusiasts,1555.32,15851.89,32262,2024,361,46,6.273634616576778,2.272727272727273,33.81130434782609,10.192044080960832,344.6063043478261
Early Bird - Email,Email,Sydney,Students,713.53,15798.52,16318,1754,305,115,10.748866282632676,6.556442417331813,6.2046086956521735,22.141353552058078,137.3784347826087
Weekend Boost - Google Search,Google Search,Mumbai,Students,1634.06,15178.78,37526,2270,317,93,6.049139263444013,4.096916299559472,17.570537634408602,9.288997956011407,163.21268817204302
Early Bird - Google Search,Google Search,Sydney,Corporate Buyers,1167.34,15017.97,24227,1100,253,43,4.540388822388245,3.909090909090909,27.147441860465115,12.86512070176641,349.25511627906974
Weekend Boost - Google Search,Google Search,Melbourne,Young Professionals,2117.92,14884.45,39352,1930,382,55,4.904452124415531,2.849740932642487,38.507636363636365,7.027862242199895,270.62636363636364
Festival Push - Google Search,Google Search,Brisbane,Families,2386.3500000000004,14858.92,54794,2688,518,52,4.905646603642735,1.9345238095238095,45.89134615384616,6.226630628365495,285.7484615384615
Summer Launch - Retargeting,Retargeting,Bangalore,Young Professionals,1210.79,14831.710000000001,18671,1378,254,64,7.380429543141771,4.644412191582003,18.91859375,12.249613888452995,231.74546875000001
Weekend Boost - Retargeting,Retargeting,Melbourne,Young Professionals,1763.55,14585.98,33339,2238,257,68,6.71285881400162,3.038427167113494,25.93455882352941,8.270806044625896,214.49970588235294
Summer Launch - Retargeting,Retargeting,Melbourne,Families,799.13,14444.72,11940,1118,227,58,9.363484087102178,5.18783542039356,13.778103448275862,18.075557168420655,249.04689655172413
VIP Upgrade - Retargeting,Retargeting,Melbourne,Music Enthusiasts,911.43,14407.2,24119,1952,370,71,8.093204527550894,3.637295081967213,12.837042253521126,15.807247951022022,202.91830985915493
Early Bird - Google Search,Google Search,Bangalore,Families,1725.73,14401.19,36276,2344,422,86,6.461572389458595,3.668941979522184,20.066627906976745,8.344984441366842,167.45569767441862
Student Offer - Google Search,Google Search,Sydney,Premium Experience Seekers,1233.03,14243.41,22364,1019,238,32,4.556429976748346,3.140333660451423,38.5321875,11.55155186816217,445.1065625
Corporate Outreach - Email,Email,Sydney,Young Professionals,381.55,14212.31,10260,972,171,62,9.473684210526317,6.378600823045268,6.154032258064516,37.24887957017429,229.2308064516129
Weekend Boost - Retargeting,Retargeting,Melbourne,Premium Experience Seekers,791.35,14174.18,14523,685,139,39,4.716656338222131,5.693430656934306,20.29102564102564,17.91139192519113,363.4405128205128
Weekend Boost - Email,Email,Melbourne,Premium Experience Seekers,687.15,14138.5,12545,1400,242,51,11.159824631327222,3.642857142857143,13.473529411764705,20.57556574255985,277.22549019607845
Corporate Outreach - Google Search,Google Search,Brisbane,Corporate Buyers,2366.99,13934.5,55239,2834,499,44,5.130433208421587,1.55257586450247,53.79522727272727,5.887012619402702,316.6931818181818
VIP Upgrade - Sponsorship,Sponsorship,Melbourne,Premium Experience Seekers,1695.35,13665.87,31854,523,110,15,1.641866013687449,2.8680688336520075,113.02333333333333,8.060795705901437,911.0580000000001
Student Offer - Google Search,Google Search,Melbourne,Music Enthusiasts,2453.14,12799.23,46987,2258,341,49,4.8055845233788075,2.170062001771479,50.06408163265306,5.217488606439095,261.2087755102041
Corporate Outreach - Retargeting,Retargeting,Mumbai,Corporate Buyers,660.52,12763.0,12031,940,174,36,7.813149364142631,3.829787234042553,18.34777777777778,19.32265487797493,354.52777777777777
Weekend Boost - Google Search,Google Search,Sydney,Young Professionals,1912.26,12749.26,41813,2398,505,53,5.735058474637075,2.2101751459549623,36.080377358490566,6.667116396305942,240.55207547169812
VIP Upgrade - Retargeting,Retargeting,Sydney,Young Professionals,741.69,12539.55,12578,985,178,45,7.831133725552553,4.568527918781726,16.482000000000003,16.906726529951865,278.65666666666664
Corporate Outreach - Retargeting,Retargeting,Brisbane,Young Professionals,958.43,12490.07,22270,1608,152,49,7.220475976650202,3.0472636815920398,19.559795918367346,13.03180200953643,254.89938775510203
Corporate Outreach - Retargeting,Retargeting,Sydney,Music Enthusiasts,906.84,12477.37,15611,1153,207,62,7.385817692652617,5.377276669557675,14.626451612903226,13.759174716598297,201.24790322580645
Early Bird - Retargeting,Retargeting,Sydney,Students,1458.3,12401.939999999999,25305,1705,281,71,6.737798853981427,4.164222873900293,20.53943661971831,8.504381814441473,174.67521126760562
Early Bird - Retargeting,Retargeting,Sydney,Music Enthusiasts,471.17,12272.1,12885,1393,193,48,10.811020566550253,3.4458004307250536,9.816041666666667,26.046013116284993,255.66875000000002
Student Offer - Google Search,Google Search,Brisbane,Young Professionals,1231.46,12241.44,30351,1377,170,36,4.5369180587130575,2.6143790849673203,34.20722222222222,9.940590843389147,340.04
Student Offer - Google Search,Google Search,Melbourne,Young Professionals,2719.41,12233.91,47477,2237,394,47,4.711755165659161,2.1010281627179257,57.85978723404255,4.49873685836266,260.29595744680853
Early Bird - Google Search,Google Search,Bangalore,Young Professionals,995.21,12213.13,25376,1587,287,37,6.253940731399747,2.3314429741650917,26.89756756756757,12.271912460686687,330.0845945945946
Summer Launch - Google Search,Google Search,Mumbai,Families,2571.05,12168.15,59028,2769,502,59,4.690994104492783,2.1307331166486096,43.5771186440678,4.732755100056397,206.23983050847457
Last Mile Sales - Retargeting,Retargeting,Sydney,Students,810.94,12156.06,20135,1344,231,83,6.674944127141792,6.175595238095238,9.770361445783132,14.990085579697633,146.45855421686747
Festival Push - Retargeting,Retargeting,Delhi,Music Enthusiasts,758.58,12104.05,16478,1620,268,62,9.83129020512198,3.8271604938271606,12.235161290322582,15.956194468612406,195.2266129032258
Weekend Boost - Google Search,Google Search,Melbourne,Students,1405.73,11869.27,30674,1675,304,49,5.460650713959706,2.925373134328358,28.688367346938776,8.443491993483812,242.23000000000002
VIP Upgrade - Email,Email,Melbourne,Corporate Buyers,471.21,11785.21,11502,856,177,47,7.442183968005564,5.490654205607477,10.025744680851064,25.010526092400415,250.7491489361702
Corporate Outreach - Google Search,Google Search,Mumbai,Families,2122.87,11732.56,34685,2121,453,48,6.115035317860746,2.263083451202263,44.22645833333333,5.526744454441393,244.4283333333333
VIP Upgrade - Retargeting,Retargeting,Melbourne,Premium Experience Seekers,547.81,11481.31,8890,737,123,40,8.29021372328459,5.4274084124830395,13.695249999999998,20.958562275241416,287.03274999999996
VIP Upgrade - Retargeting,Retargeting,Delhi,Corporate Buyers,530.68,11410.62,10348,654,170,31,6.320061847700038,4.740061162079511,17.118709677419353,21.501884374764458,368.0845161290323
Last Mile Sales - Retargeting,Retargeting,Delhi,Music Enthusiasts,754.85,11380.99,16489,1238,214,45,7.508035660137061,3.634894991922456,16.774444444444445,15.077154401536728,252.91088888888888
Last Mile Sales - Retargeting,Retargeting,Melbourne,Corporate Buyers,888.69,11298.34,19836,1593,249,47,8.030852994555355,2.9504080351537976,18.908297872340427,12.71347714051019,240.39021276595744
Last Mile Sales - Google Search,Google Search,Brisbane,Corporate Buyers,1262.8,11168.11,21131,1274,212,30,6.029056835928257,2.3547880690737837,42.093333333333334,8.843926195755465,372.2703333333333
Early Bird - Retargeting,Retargeting,Mumbai,Young Professionals,908.2,11114.08,17544,766,154,47,4.366165070679435,6.135770234986945,19.32340425531915,12.237480731116493,236.46978723404254
Festival Push - Google Search,Google Search,Mumbai,Young Professionals,781.86,11020.92,17654,1257,229,39,7.120199388240625,3.1026252983293556,20.04769230769231,14.095771621517919,282.5876923076923
Student Offer - Google Search,Google Search,Bangalore,Young Professionals,1595.56,10997.49,34065,1450,297,37,4.256568325260531,2.5517241379310347,43.123243243243245,6.892558098723959,297.22945945945946
Last Mile Sales - Retargeting,Retargeting,Melbourne,Families,763.68,10993.76,9745,750,194,45,7.6962544894817855,6.0,16.970666666666666,14.395767860884142,244.3057777777778
Summer Launch - Google Search,Google Search,Delhi,Premium Experience Seekers,1606.67,10977.31,38754,2081,444,36,5.369768281983795,1.7299375300336377,44.62972222222223,6.832336447434756,304.92527777777775
Corporate Outreach - Retargeting,Retargeting,Sydney,Corporate Buyers,525.94,10937.08,10661,753,140,45,7.063127286370885,5.9760956175298805,11.687555555555557,20.795299844088678,243.0462222222222
Summer Launch - Retargeting,Retargeting,Bangalore,Students,759.47,10931.91,20245,1518,303,84,7.498147690787849,5.533596837944664,9.041309523809524,14.394130117055314,130.1417857142857
VIP Upgrade - Google Search,Google Search,Sydney,Young Professionals,1114.25,10929.85,24172,1420,278,31,5.874565613106073,2.1830985915492955,35.943548387096776,9.809154139555755,352.5758064516129
Last Mile Sales - Retargeting,Retargeting,Bangalore,Young Professionals,497.88,10928.74,14059,964,244,80,6.856817696848994,8.29875518672199,6.2235,21.950550333413673,136.60925
Summer Launch - Google Search,Google Search,Sydney,Young Professionals,1231.07,10883.34,27366,1393,259,32,5.0902579843601545,2.297200287150036,38.4709375,8.840553339777593,340.104375
Weekend Boost - Sponsorship,Sponsorship,Melbourne,Students,4143.34,10790.15,87441,1323,252,34,1.5130202079116204,2.5699168556311416,121.8629411764706,2.6042154397177155,317.3573529411765
VIP Upgrade - Google Search,Google Search,Mumbai,Young Professionals,1219.11,10685.79,29307,1440,248,33,4.913501893745521,2.2916666666666665,36.94272727272727,8.765238575682261,323.8118181818182
Festival Push - Retargeting,Retargeting,Melbourne,Music Enthusiasts,473.53,10623.89,9642,712,190,55,7.384360091267372,7.724719101123595,8.609636363636364,22.435516229172386,193.16163636363635
Student Offer - Google Search,Google Search,Mumbai,Young Professionals,1577.94,10613.0,32008,1313,208,38,4.102099475131217,2.8941355674028943,41.52473684210526,6.725857763920048,279.2894736842105
Corporate Outreach - Email,Email,Melbourne,Premium Experience Seekers,430.84,10591.24,8529,969,107,43,11.36123812873725,4.437564499484004,10.01953488372093,24.582768545167582,246.3079069767442
Weekend Boost - Meta Ads,Meta Ads,Sydney,Music Enthusiasts,3510.55,10568.220000000001,77809,2310,367,43,2.9688082355511574,1.8614718614718615,81.6406976744186,3.010417171098546,245.7725581395349
Summer Launch - Retargeting,Retargeting,Melbourne,Music Enthusiasts,515.72,10485.06,11982,764,99,50,6.376231013186446,6.544502617801047,10.314400000000001,20.330916000930735,209.7012
Corporate Outreach - Google Search,Google Search,Bangalore,Premium Experience Seekers,810.06,10429.06,18288,825,157,27,4.511154855643045,3.272727272727273,30.00222222222222,12.874429054637929,386.26148148148144
Early Bird - Retargeting,Retargeting,Delhi,Corporate Buyers,607.64,10373.76,7050,576,132,35,8.170212765957446,6.076388888888888,17.361142857142855,17.072213810809032,296.3931428571429
VIP Upgrade - Sponsorship,Sponsorship,Melbourne,Corporate Buyers,2022.42,10355.92,34934,858,153,17,2.456059998854984,1.9813519813519813,118.96588235294118,5.120558538780273,609.1717647058823
Last Mile Sales - Sponsorship,Sponsorship,Melbourne,Corporate Buyers,1636.51,10324.22,37325,688,142,15,1.8432685867381111,2.1802325581395348,109.10066666666667,6.308681279063372,688.2813333333332
Corporate Outreach - Google Search,Google Search,Bangalore,Families,1332.41,10247.24,35234,1429,269,73,4.055741613214509,5.108467459762071,18.252191780821917,7.690755848425034,140.37315068493152
VIP Upgrade - Retargeting,Retargeting,Mumbai,Corporate Buyers,1588.37,10081.810000000001,28876,1466,281,36,5.076880454356559,2.455661664392906,44.12138888888889,6.347267953940204,280.0502777777778
Weekend Boost - Sponsorship,Sponsorship,Bangalore,Families,2678.9700000000003,10012.119999999999,64825,1154,209,25,1.7801774006941766,2.166377816291161,107.15880000000001,3.737302022792341,400.48479999999995
Festival Push - Sponsorship,Sponsorship,Mumbai,Music Enthusiasts,2873.76,9892.970000000001,59156,1298,303,19,2.1941983906957874,1.4637904468412943,151.25052631578947,3.4425178163799344,520.6826315789474
VIP Upgrade - Google Search,Google Search,Sydney,Students,2374.63,9815.279999999999,61204,2894,464,42,4.728449120972486,1.4512785072563925,56.538809523809526,4.13339341286853,233.69714285714284
VIP Upgrade - Google Search,Google Search,Brisbane,Corporate Buyers,983.82,9556.23,17469,904,113,24,5.17488121815788,2.6548672566371683,40.9925,9.713392693785448,398.17625
Corporate Outreach - Sponsorship,Sponsorship,Bangalore,Premium Experience Seekers,1347.7,9499.92,27776,632,56,14,2.2753456221198154,2.2151898734177213,96.26428571428572,7.048987163315278,678.5657142857143
Weekend Boost - Google Search,Google Search,Bangalore,Corporate Buyers,1708.34,9361.38,23218,935,115,26,4.027047980015505,2.7807486631016043,65.70538461538462,5.479810810494397,360.0530769230769
Weekend Boost - Email,Email,Melbourne,Corporate Buyers,399.45,9228.0,6414,661,106,30,10.305581540380418,4.53857791225416,13.315,23.101764926774315,307.6
Summer Launch - Google Search,Google Search,Sydney,Premium Experience Seekers,682.03,9145.15,12662,725,112,22,5.725793713473385,3.0344827586206895,31.001363636363635,13.408721024001876,415.68863636363636
Corporate Outreach - Email,Email,Melbourne,Corporate Buyers,903.1400000000001,9088.16,19511,1604,230,47,8.22100353646661,2.9301745635910224,19.215744680851067,10.06284739907434,193.36510638297872
Weekend Boost - Retargeting,Retargeting,Melbourne,Students,653.08,8955.54,13238,959,178,70,7.244296721559147,7.2992700729927,9.329714285714287,13.712776382678998,127.93628571428573
VIP Upgrade - Retargeting,Retargeting,Bangalore,Students,747.01,8800.83,16348,881,187,44,5.389038414484952,4.994324631101021,16.9775,11.781408548747674,200.01886363636365
Early Bird - Retargeting,Retargeting,Sydney,Families,648.22,8674.99,15082,1191,266,52,7.8968306590637845,4.36607892527288,12.465769230769231,13.382786708216345,166.82673076923078
Student Offer - Google Search,Google Search,Mumbai,Music Enthusiasts,1919.53,8586.28,41970,2034,330,32,4.846318799142244,1.5732546705998034,59.9853125,4.473115814808834,268.32125
VIP Upgrade - Email,Email,Bangalore,Music Enthusiasts,472.93,8546.6,9867,1039,191,42,10.530049660484444,4.042348411934552,11.260238095238096,18.07159621931364,203.4904761904762
Weekend Boost - Email,Email,Bangalore,Premium Experience Seekers,519.78,8518.61,7135,805,183,23,11.282410651716889,2.857142857142857,22.59913043478261,16.388876062949713,370.374347826087
Weekend Boost - Google Search,Google Search,Mumbai,Corporate Buyers,1599.89,8491.14,26224,982,185,29,3.7446613788895666,2.9531568228105907,55.16862068965518,5.3073273787572885,292.79793103448276
Early Bird - Google Search,Google Search,Bangalore,Premium Experience Seekers,624.65,8421.08,12186,747,162,24,6.129985228951256,3.2128514056224895,26.027083333333334,13.48127751540863,350.87833333333333
Student Offer - Email,Email,Melbourne,Premium Experience Seekers,322.74,8362.0,5829,504,108,26,8.646423057128153,5.158730158730158,12.413076923076924,25.90940075602652,321.61538461538464
Summer Launch - Sponsorship,Sponsorship,Melbourne,Music Enthusiasts,2627.1800000000003,8313.4,44879,960,174,16,2.1390850954789546,1.6666666666666667,164.19875000000002,3.1643815802495445,519.5875
Corporate Outreach - Google Search,Google Search,Melbourne,Corporate Buyers,1406.91,8285.16,27129,1375,282,29,5.068377013527959,2.109090909090909,48.51413793103448,5.888905473697678,285.6951724137931
Student Offer - Sponsorship,Sponsorship,Melbourne,Music Enthusiasts,1892.22,8270.63,47893,851,193,19,1.7768776230346814,2.2326674500587544,99.59052631578948,4.370860682161693,435.2963157894736
Festival Push - Retargeting,Retargeting,Bangalore,Students,766.16,8137.35,16306,1207,283,49,7.40218324543113,4.059652029826015,15.635918367346939,10.62095384776026,166.06836734693877
Early Bird - Email,Email,Delhi,Premium Experience Seekers,272.44,8130.34,7861,664,104,31,8.446762498409871,4.66867469879518,8.788387096774194,29.842680957274997,262.2690322580645
Festival Push - Retargeting,Retargeting,Melbourne,Students,622.04,8067.8,11421,824,92,48,7.214779791611943,5.825242718446602,12.959166666666667,12.969905472316894,168.07916666666668
Summer Launch - Google Search,Google Search,Brisbane,Young Professionals,1336.45,8061.98,22795,1334,372,30,5.8521605615266505,2.2488755622188905,44.54833333333333,6.032384301694788,268.73266666666666
Summer Launch - Google Search,Google Search,Mumbai,Young Professionals,1031.74,8061.06,20731,961,227,32,4.635569919444311,3.329864724245578,32.241875,7.813073061042511,251.908125
Corporate Outreach - Google Search,Google Search,Bangalore,Young Professionals,869.87,7745.7,13022,739,172,26,5.6750115189679,3.5182679296346415,33.456538461538464,8.904433995884443,297.91153846153844
Summer Launch - Sponsorship,Sponsorship,Melbourne,Premium Experience Seekers,1801.02,7695.98,33545,433,87,12,1.2908033984200329,2.771362586605081,150.085,4.2731230080732026,641.3316666666666
Student Offer - Google Search,Google Search,Delhi,Families,1563.33,7382.61,32975,2405,553,36,7.293404094010613,1.496881496881497,43.42583333333333,4.722361881368617,205.0725
VIP Upgrade - Google Search,Google Search,Bangalore,Corporate Buyers,1112.72,7360.12,13989,638,114,27,4.560726284938166,4.231974921630094,41.211851851851854,6.614530160327845,272.597037037037
VIP Upgrade - Google Search,Google Search,Delhi,Young Professionals,1119.9,7293.38,18397,958,162,19,5.207370766972876,1.9832985386221296,58.9421052631579,6.512527904277167,383.8621052631579
Corporate Outreach - Email,Email,Sydney,Premium Experience Seekers,379.9,7256.68,9304,849,94,46,9.125107480653483,5.418138987043581,8.258695652173913,19.101553040273757,157.75391304347826
Early Bird - Meta Ads,Meta Ads,Melbourne,Music Enthusiasts,1498.45,7234.6,38270,1099,196,27,2.8717010713352495,2.4567788898999092,55.49814814814815,4.828055657512763,267.94814814814816
Student Offer - Retargeting,Retargeting,Melbourne,Students,754.91,7115.67,10779,872,175,44,8.08980424900269,5.045871559633028,17.157045454545454,9.42585208832841,161.71977272727273
Festival Push - Google Search,Google Search,Delhi,Premium Experience Seekers,1041.37,7068.13,20862,1240,231,16,5.943821301888601,1.2903225806451613,65.085625,6.787337833815071,441.758125
Festival Push - Email,Email,Brisbane,Corporate Buyers,433.46,7056.86,11048,835,178,28,7.557929036929761,3.3532934131736525,15.480714285714285,16.280302680754858,252.03071428571428
Weekend Boost - Retargeting,Retargeting,Sydney,Families,619.47,7044.23,10241,742,118,27,7.245386192754613,3.638814016172507,22.943333333333335,11.371381987828304,260.8974074074074
Student Offer - Google Search,Google Search,Sydney,Families,1189.85,7022.43,29409,1683,216,39,5.722737937366112,2.3172905525846703,30.508974358974356,5.901945623397908,180.0623076923077
Early Bird - Retargeting,Retargeting,Mumbai,Music Enthusiasts,868.22,6997.88,18630,1149,195,38,6.1674718196457325,3.307223672758921,22.847894736842107,8.060030867752413,184.15473684210528
Corporate Outreach - Retargeting,Retargeting,Sydney,Families,1128.55,6973.55,22440,1703,330,45,7.589126559714796,2.6423957721667644,25.078888888888887,6.179212263523992,154.96777777777777
Early Bird - Email,Email,Melbourne,Young Professionals,444.38,6934.17,8324,731,156,43,8.781835655934648,5.88235294117647,10.334418604651162,15.60414510103965,161.25976744186048
Corporate Outreach - Google Search,Google Search,Sydney,Premium Experience Seekers,767.66,6900.67,13907,635,146,17,4.566045876177465,2.677165354330709,45.156470588235294,8.98922700153714,405.92176470588237
Weekend Boost - Sponsorship,Sponsorship,Melbourne,Families,1364.11,6789.21,29518,586,88,16,1.9852293515820856,2.7303754266211606,85.256875,4.977025313207879,424.325625
VIP Upgrade - Google Search,Google Search,Melbourne,Young Professionals,1355.25,6740.03,21106,1233,267,43,5.841940680375249,3.4874290348742907,31.517441860465116,4.973274303634016,156.74488372093023
Last Mile Sales - Sponsorship,Sponsorship,Mumbai,Corporate Buyers,1194.49,6546.88,26124,486,98,9,1.8603582912264585,1.8518518518518516,132.7211111111111,5.480899798240253,727.4311111111111
Summer Launch - Email,Email,Bangalore,Families,392.29,6482.67,10163,997,211,46,9.810095444258584,4.613841524573721,8.52804347826087,16.525198195212724,140.92760869565217
Festival Push - Email,Email,Mumbai,Premium Experience Seekers,372.98,6360.48,5943,495,102,26,8.329126703685008,5.252525252525253,14.345384615384615,17.053139578529677,244.63384615384615
Summer Launch - Retargeting,Retargeting,Melbourne,Young Professionals,766.64,6306.95,19764,1383,239,30,6.997571341833638,2.1691973969631237,25.554666666666666,8.226742669310237,210.23166666666665
Last Mile Sales - Google Search,Google Search,Sydney,Families,1054.15,6273.37,23044,861,146,29,3.7363304981773995,3.368176538908246,36.35,5.951117013707726,216.32310344827584
VIP Upgrade - Retargeting,Retargeting,Melbourne,Corporate Buyers,695.99,6223.2,11989,978,130,26,8.157477687880558,2.658486707566462,26.768846153846155,8.9415077802842,239.35384615384615
VIP Upgrade - Retargeting,Retargeting,Bangalore,Families,773.37,6140.59,20114,1156,185,38,5.747240727851248,3.2871972318339098,20.35184210526316,7.940041635956916,161.59447368421053
